channel,duration,meter_id,quality,timestamp,value
1,0,4839201574,1,20250123,46130
1,0,7291048653,1,20250124,60383
10,0,582193740,1,20250124,4423
1,0,9348752061,1,20250122,376504
1,0,6721304908,1,20250124,8365
1,0,1482937562,1,20250124,66508
10,0,5903842179,1,20250123,5247
1,0,8031275461,1,20250124,5737
11,0,4178629305,1,20250123,4164
1,0,2967034817,1,20250124,15213
1,0,8517294036,1,20250124,55154
1,0,349821759,1,20250124,52093
1,0,1204983726,1,20250122,79435
1,0,9872104563,1,20250123,1495
1,0,5630194872,1,20250122,2829
1,0,2049375819,1,20250122,43843
11,0,7590428130,4,20250123,2623
1,0,3186297405,1,20250123,7861
1,0,6427103981,1,20250124,49719
1,0,8752049163,1,20250122,167324
1,0,1095832478,1,20250123,61160
1,0,5067283941,1,20250122,31781
1,0,7824519036,1,20250122,83
1,0,4398127590,1,20250124,66792
1,0,2603984175,1,20250122,34092
1,0,5984071234,1,20250124,15835
1,0,8472310956,1,20250122,127932
10,0,3217849073,1,20250122,7984
1,0,9650281472,1,20250123,320770
1,0,7039164285,1,20250123,4158
1,0,8562407913,1,20250123,50338
1,0,4125879360,1,20250122,87193
1,0,2478305698,1,20250122,14733
1,0,6719024831,1,20250122,87564
10,0,9341562078,1,20250123,7450
11,0,5829034716,1,20250122,2231
10,0,7961042385,1,20250122,5821
1,0,4085721963,1,20250122,66404
1,0,2358709146,1,20250123,617
1,0,6902137548,1,20250124,88504
1,0,8435102679,1,20250124,70851
1,0,1275948036,1,20250123,80353
8,0,5198073462,1,20250122,1345
1,0,7842631095,1,20250123,79011
1,0,3501924871,1,20250124,75185
1,0,6984752170,1,20250122,72981
1,0,9021835746,1,20250122,78849
1,0,4367280195,1,20250124,75485
1,0,2189403571,1,20250123,52601
1,0,5738149260,1,20250123,9638
1,0,8046297138,1,20250124,12150
1,0,3528071964,1,20250124,81983
3,0,6901482735,1,20250122,7621
10,0,9475028190,1,20250127,3599
10,0,1284690574,1,20250123,860
1,0,5802479136,1,20250124,3292
10,0,7319058460,1,20250124,941
1,0,4065921789,1,20250123,69709
1,0,2691847053,1,20250124,15660
1,0,8674920135,1,20250122,3569
10,0,1453029768,1,20250123,5815
1,0,5947831092,1,20250124,2
10,0,8732054129,1,20250123,4331
1,0,3289174560,1,20250124,92552
1,0,7601843295,1,20250124,39147
1,0,9158702463,1,20250122,8849
1,0,4073168259,1,20250123,91693
1,0,2540679183,1,20250122,76923
11,0,6305982174,1,20250123,7440
1,0,8427915360,1,20250122,24743
1,0,1385074269,1,20250123,1652
1,0,5026819731,1,20250122,40668
1,0,7840512639,1,20250123,815194
1,0,3691254807,1,20250124,56138
10,0,6902874351,1,20250123,3865
11,0,9304518726,1,20250123,1170
10,0,5173928640,1,20250123,4808
1,0,7620481395,1,20250123,5056
1,0,4059782164,1,20250123,52918
10,0,2846135907,1,20250124,6031
1,0,6782034169,1,20250123,98700
1,0,8945701283,1,20250123,29875
1,0,1462985709,1,20250124,530161
10,0,5918742068,1,20250124,5277
1,0,8234610975,1,20250124,10348
10,0,3795402681,1,20250123,1086
1,0,7450836129,1,20250122,12106
1,0,9187254035,1,20250123,24672
1,0,4068721397,1,20250124,16654
1,0,2740169530,1,20250122,25920
1,0,6384792051,1,20250123,34916
1,0,8571209364,1,20250122,9606
10,0,1395082746,1,20250124,7252
10,0,5204796813,1,20250124,9241
1,0,7930254178,1,20250124,28325
1,0,3526408719,1,20250123,15154
10,0,6809415273,1,20250124,1220
1,0,9302158764,1,20250124,9410
11,0,5148632719,1,20250123,2426
1,0,7684521093,1,20250124,24581
1,0,4025978165,1,20250122,77980
10,0,2891756403,1,20250123,1889
1,0,6748231058,1,20250123,39303
1,0,8954106273,1,20250123,85736
1,0,1475203896,1,20250122,60555
1,0,5982174031,1,20250122,8851
1,0,8214395760,1,20250124,20658
1,0,3715982049,1,20250124,17097
1,0,7520841368,1,20250123,23
1,0,9173028461,1,20250122,33620
10,0,4086519725,1,20250122,2174
10,0,2679105438,1,20250123,1761
1,0,6417820935,1,20250124,73797
10,0,8591402761,1,20250124,1456
1,0,1347295860,1,20250122,54005
1,0,5076198427,1,20250122,36364
1,0,7820645139,1,20250124,2118
1,0,3640925781,1,20250122,76885
1,0,6958214073,1,20250124,71700
1,0,9364710285,1,20250123,58710
1,0,5268047193,1,20250124,17565
1,0,7639814260,1,20250123,84601
10,0,4135289762,1,20250123,9592
1,0,2957084619,1,20250124,52420
1,0,6724398025,1,20250122,1482
1,0,8982103471,1,20250122,4783
1,0,1508732429,1,20250123,6196
1,0,5990287134,1,20250123,88184
10,0,8261704950,53,20250122,2738
1,0,3875924018,1,20250122,83482
3,0,7489031625,1,20250123,3233
1,0,9148705280,1,20250122,0
10,0,4105867293,1,20250124,4014
1,0,2794631057,1,20250124,36520
10,0,6394578271,1,20250123,9158
1,0,8527130946,1,20250122,9827
10,0,1419572068,1,20250123,6941
10,0,5037289641,1,20250124,3610
1,0,7890642175,1,20250123,13415
1,0,3604927816,1,20250122,42399
3,0,6924750183,1,20250122,22935
1,0,9348025671,1,20250122,57287
3,0,5829413067,1,20250122,44502
1,0,7419658203,1,20250124,16792
1,0,6903715842,1,20250123,4852
1,0,9284167053,1,20250123,74189
10,0,1048652793,1,20250124,3402
1,0,8157396024,1,20250122,66914
1,0,5726904318,1,20250122,60732
1,0,6498025731,1,20250122,29865
1,0,7031958462,1,20250122,17773
1,0,8642095731,1,20250124,92711
10,0,4928056713,1,20250124,5488
1,0,5814307692,1,20250124,49346
10,0,7401982653,1,20250123,7682
1,0,9137406285,1,20250124,9856
1,0,4839201574,1,20250123,0
1,0,7291048653,1,20250124,73373
10,0,582193740,1,20250124,6924
1,0,9348752061,1,20250122,93806
10,0,6721304908,1,20250123,4575
1,0,1482937562,1,20250124,39597
1,0,5903842179,1,20250122,61613
1,0,8031275461,1,20250123,83722
1,0,4178629305,1,20250122,23067
1,0,2967034817,1,20250122,4936
1,0,8517294036,1,20250124,34714
1,0,349821759,1,20250122,2889
10,0,1204983726,1,20250123,5131
1,0,9872104563,1,20250123,22546
10,0,5630194872,1,20250124,212
10,0,2049375819,1,20250122,2310
10,0,7590428130,1,20250122,8399
1,0,3186297405,1,20250123,200
10,0,6427103981,1,20250123,6291
1,0,8752049163,1,20250123,82439
1,0,1095832478,1,20250122,6193
1,0,5067283941,1,20250124,96846
10,0,7824519036,1,20250123,1275
1,0,4398127590,1,20250122,9948
1,0,2603984175,1,20250123,61791
1,0,5984071234,1,20250123,80423
1,0,8472310956,1,20250122,56064
1,0,3217849073,1,20250123,1530
1,0,9650281472,1,20250124,64602
1,0,7039164285,1,20250123,49959
10,0,8562407913,1,20250122,25535
1,0,4125879360,1,20250123,7601
11,0,2478305698,1,20250122,847
10,0,6719024831,1,20250123,2439
1,0,9341562078,1,20250123,5013
1,0,5829034716,1,20250122,30844
1,0,7961042385,1,20250124,60137
1,0,4085721963,1,20250124,79207
10,0,2358709146,1,20250124,1924
1,0,6902137548,1,20250124,58796
10,0,8435102679,1,20250123,4537
1,0,1275948036,1,20250124,3669
10,0,5198073462,1,20250122,7059
1,0,7842631095,1,20250124,94996
1,0,3501924871,1,20250122,32578
10,0,6984752170,1,20250123,4350
1,0,9021835746,1,20250122,59805
1,0,4367280195,1,20250123,56852
1,0,2189403571,1,20250124,22607
3,0,5738149260,1,20250123,14473
10,0,8046297138,1,20250124,6020
1,0,3528071964,1,20250124,15604
1,0,6901482735,1,20250123,99377
1,0,9475028190,1,20250122,939
1,0,1284690574,1,20250122,25834
1,0,5802479136,1,20250122,88648
1,0,7319058460,1,20250123,1998
3,0,4065921789,1,20250124,99911
1,0,2691847053,1,20250124,3625
3,0,8674920135,1,20250124,1185
1,0,1453029768,1,20250123,13364
3,0,5947831092,1,20250123,6187
11,0,8732054129,1,20250123,2632
10,0,3289174560,1,20250122,593
10,0,7601843295,1,20250122,1358
1,0,9158702463,1,20250124,14812
1,0,4073168259,1,20250122,84299
1,0,2540679183,1,20250123,171976
1,0,6305982174,1,20250122,56058
1,0,8427915360,1,20250124,15169
1,0,1385074269,1,20250123,19185
1,0,5026819731,1,20250123,75891
1,0,7840512639,1,20250122,85044
1,0,3691254807,1,20250123,51532
1,0,6902874351,1,20250123,70838
3,0,9304518726,1,20250123,97638
1,0,5173928640,1,20250122,1255
1,0,7620481395,1,20250123,14608
1,0,4059782164,1,20250122,34337
1,0,2846135907,1,20250122,29913
1,0,6782034169,1,20250124,40739
10,0,8945701283,1,20250122,1168
1,0,1462985709,1,20250122,32013
1,0,5918742068,1,20250123,64550
1,0,8234610975,1,20250123,54073
10,0,3795402681,1,20250124,9893
1,0,7450836129,1,20250122,9756
1,0,9187254035,1,20250124,22711
1,0,4068721397,1,20250122,3896
11,0,2740169530,1,20250122,2750
1,0,6384792051,1,20250123,37716
10,0,8571209364,1,20250124,7960
10,0,1395082746,1,20250123,0
10,0,5204796813,1,20250123,2487
1,0,7930254178,1,20250123,97793
10,0,3526408719,1,20250123,3124
1,0,6809415273,1,20250122,80652
1,0,9302158764,1,20250122,14456
1,0,5148632719,1,20250124,3670
1,0,7684521093,1,20250122,30058
1,0,4025978165,1,20250123,71013
1,0,2891756403,1,20250124,21670
1,0,6748231058,1,20250123,13791
1,0,8954106273,1,20250122,62654
1,0,1475203896,1,20250122,58956
1,0,5982174031,1,20250123,179977
10,0,8214395760,1,20250123,6782
1,0,3715982049,1,20250123,87606
10,0,7520841368,1,20250123,1085
1,0,9173028461,1,20250123,11364
1,0,4086519725,1,20250124,76301
1,0,2679105438,1,20250123,10850
10,0,6417820935,1,20250123,1872
1,0,8591402761,1,20250122,17683
1,0,1347295860,1,20250122,38742
1,0,5076198427,1,20250124,66775
10,0,7820645139,1,20250123,421
1,0,3640925781,1,20250124,11527
1,0,6958214073,1,20250122,89128
1,0,9364710285,1,20250122,43041
1,0,5268047193,1,20250123,7321
10,0,7639814260,1,20250124,1954
1,0,4135289762,1,20250124,22548
1,0,2957084619,1,20250123,24905
1,0,6724398025,1,20250123,2213
1,0,8982103471,1,20250122,15680
10,0,1508732429,1,20250123,5766
1,0,5990287134,1,20250124,2220
1,0,8261704950,1,20250124,73437
3,0,3875924018,1,20250123,8908
1,0,7489031625,1,20250124,6963
1,0,9148705280,1,20250122,29251
1,0,4105867293,1,20250122,29185
1,0,2794631057,1,20250123,92261
1,0,6394578271,1,20250123,28795
3,0,8527130946,1,20250124,41254
1,0,1419572068,1,20250124,59872
1,0,5037289641,1,20250122,644474
1,0,7890642175,1,20250122,30578
15,0,3604927816,1,20250122,37
1,0,6924750183,1,20250124,8270
10,0,9348025671,1,20250124,3665
1,0,5829413067,1,20250123,95403
11,0,7419658203,1,20250122,3039
10,0,6903715842,1,20250123,5257
10,0,9284167053,1,20250124,3309
10,0,1048652793,1,20250122,312
10,0,8157396024,1,20250123,6272
1,0,5726904318,1,20250123,87707
1,0,6498025731,1,20250123,3145
1,0,7031958462,1,20250124,0
10,0,8642095731,1,20250123,5600
11,0,4928056713,1,20250123,1036
10,0,5814307692,1,20250123,7584
1,0,7401982653,1,20250122,5193
1,0,9137406285,1,20250123,16909
1,0,4839201574,1,20250124,76464
3,0,7291048653,1,20250122,98469
10,0,582193740,1,20250124,727
1,0,9348752061,1,20250122,68628
1,0,6721304908,1,20250122,13880
1,0,1482937562,1,20250122,75099
1,0,5903842179,1,20250122,450
1,0,8031275461,1,20250122,93412
1,0,4178629305,1,20250122,12637
1,0,2967034817,1,20250124,92737
1,0,8517294036,1,20250124,13678
1,0,349821759,1,20250123,76390
1,0,1204983726,1,20250123,87096
1,0,9872104563,1,20250122,4873
1,0,5630194872,1,20250122,14856
14,0,2049375819,1,20250122,20506
1,0,7590428130,1,20250122,13619
3,0,3186297405,4,20250123,99422
1,0,6427103981,1,20250124,32415
1,0,8752049163,1,20250122,88513
1,0,1095832478,1,20250123,15985
1,0,5067283941,1,20250122,33770
1,0,7824519036,1,20250123,81570
1,0,4398127590,1,20250122,20472
1,0,2603984175,1,20250122,26763
1,0,5984071234,1,20250122,58572
1,0,8472310956,1,20250122,38889
1,0,3217849073,1,20250122,13183
1,0,9650281472,1,20250124,548
1,0,7039164285,1,20250124,4458
10,0,8562407913,1,20250123,179
1,0,4125879360,1,20250123,88336
1,0,2478305698,1,20250122,10857
1,0,6719024831,1,20250123,64447
1,0,9341562078,1,20250122,73085
